"Ctry_code"|"Reg_Code"|"Reg_label"|"Up_reg_code"|"Up_reg_label"
"US"|"US18045"|"Fountain County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18047"|"Franklin County, IN"|"US033"|"CINCINNATI-MIDDLETOWN-WILMINGTON - OH-KY-IN"
"US"|"US18049"|"Fulton County, IN"|"US156"|"SOUTH BEND-MISHAWAKA - IN-MI"
"US"|"US18051"|"Gibson County, IN"|"US054"|"EVANSVILLE - IN-KY"
"US"|"US18053"|"Grant County, IN"|"US060"|"FORT WAYNE-HUNTINGTON-AUBURN - IN"
"US"|"US18055"|"Greene County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18057"|"Hamilton County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18059"|"Hancock County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18061"|"Harrison County, IN"|"US098"|"LOUISVILLE-ELIZABETHTOWN-SCOTTSBURG - KY-IN"
"US"|"US18063"|"Hendricks County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18065"|"Henry County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18067"|"Howard County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18069"|"Huntington County, IN"|"US060"|"FORT WAYNE-HUNTINGTON-AUBURN - IN"
"US"|"US18071"|"Jackson County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18073"|"Jasper County, IN"|"US032"|"CHICAGO-NAPERVILLE-MICHIGAN CITY - IL-IN-WI"
"US"|"US18075"|"Jay County, IN"|"US060"|"FORT WAYNE-HUNTINGTON-AUBURN - IN"
"US"|"US18077"|"Jefferson County, IN"|"US098"|"LOUISVILLE-ELIZABETHTOWN-SCOTTSBURG - KY-IN"
"US"|"US18079"|"Jennings County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18081"|"Johnson County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18083"|"Knox County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18085"|"Kosciusko County, IN"|"US156"|"SOUTH BEND-MISHAWAKA - IN-MI"
"US"|"US18087"|"Lagrange County, IN"|"US156"|"SOUTH BEND-MISHAWAKA - IN-MI"
"US"|"US18089"|"Lake County, IN"|"US032"|"CHICAGO-NAPERVILLE-MICHIGAN CITY - IL-IN-WI"
"US"|"US18091"|"La Porte County, IN"|"US032"|"CHICAGO-NAPERVILLE-MICHIGAN CITY - IL-IN-WI"
"US"|"US18093"|"Lawrence County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18095"|"Madison County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18097"|"Marion County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18099"|"Marshall County, IN"|"US156"|"SOUTH BEND-MISHAWAKA - IN-MI"
"US"|"US18101"|"Martin County, IN"|"US054"|"EVANSVILLE - IN-KY"
"US"|"US18103"|"Miami County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18105"|"Monroe County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18107"|"Montgomery County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18109"|"Morgan County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18111"|"Newton County, IN"|"US032"|"CHICAGO-NAPERVILLE-MICHIGAN CITY - IL-IN-WI"
"US"|"US18113"|"Noble County, IN"|"US060"|"FORT WAYNE-HUNTINGTON-AUBURN - IN"
"US"|"US18115"|"Ohio County, IN"|"US033"|"CINCINNATI-MIDDLETOWN-WILMINGTON - OH-KY-IN"
"US"|"US18117"|"Orange County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18119"|"Owen County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18121"|"Parke County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18123"|"Perry County, IN"|"US054"|"EVANSVILLE - IN-KY"
"US"|"US18125"|"Pike County, IN"|"US054"|"EVANSVILLE - IN-KY"
"US"|"US18127"|"Porter County, IN"|"US032"|"CHICAGO-NAPERVILLE-MICHIGAN CITY - IL-IN-WI"
"US"|"US18129"|"Posey County, IN"|"US054"|"EVANSVILLE - IN-KY"
"US"|"US18131"|"Pulaski County, IN"|"US156"|"SOUTH BEND-MISHAWAKA - IN-MI"
"US"|"US18133"|"Putnam County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18135"|"Randolph County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18137"|"Ripley County, IN"|"US033"|"CINCINNATI-MIDDLETOWN-WILMINGTON - OH-KY-IN"
"US"|"US18139"|"Rush County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18141"|"St. Joseph County, IN"|"US156"|"SOUTH BEND-MISHAWAKA - IN-MI"
"US"|"US18143"|"Scott County, IN"|"US098"|"LOUISVILLE-ELIZABETHTOWN-SCOTTSBURG - KY-IN"
"US"|"US18145"|"Shelby County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
"US"|"US18147"|"Spencer County, IN"|"US054"|"EVANSVILLE - IN-KY"
"US"|"US18149"|"Starke County, IN"|"US156"|"SOUTH BEND-MISHAWAKA - IN-MI"
"US"|"US18151"|"Steuben County, IN"|"US060"|"FORT WAYNE-HUNTINGTON-AUBURN - IN"
"US"|"US18153"|"Sullivan County, IN"|"US078"|"INDIANAPOLIS-ANDERSON-COLUMBUS - IN"
