"Ctry_code"|"Reg_Code"|"Reg_label"|"Up_reg_code"|"Up_reg_label"
"US"|"US12047"|"Hamilton County, FL"|"US003"|"ALBANY - GA"
"US"|"US12049"|"Hardee County, FL"|"US121"|"ORLANDO-THE VILLAGES - FL"
"US"|"US12051"|"Hendry County, FL"|"US106"|"MIAMI-FORT LAUDERDALE-MIAMI BEACH - FL"
"US"|"US12053"|"Hernando County, FL"|"US164"|"TAMPA-ST. PETERSBURG-CLEARWATER - FL"
"US"|"US12055"|"Highlands County, FL"|"US121"|"ORLANDO-THE VILLAGES - FL"
"US"|"US12057"|"Hillsborough County, FL"|"US164"|"TAMPA-ST. PETERSBURG-CLEARWATER - FL"
"US"|"US12059"|"Holmes County, FL"|"US123"|"PANAMA CITY-LYNN HAVEN - FL"
"US"|"US12061"|"Indian River County, FL"|"US106"|"MIAMI-FORT LAUDERDALE-MIAMI BEACH - FL"
"US"|"US12063"|"Jackson County, FL"|"US123"|"PANAMA CITY-LYNN HAVEN - FL"
"US"|"US12065"|"Jefferson County, FL"|"US163"|"TALLAHASSEE - FL"
